  1	 J0006+1834  	 1.52000 	 18.58306  	 0.69374767047       	 2.097E-15 	 11.41   	 11.41     
  1	 J0014+4746  	 3.57396 	 47.77594  	 1.240699038946      	 5.6446E-16	 30.405  	 30.405    
  1	 J0023+0923  	 5.82033 	 9.38996   	 0.00305020310409707 	 1.1421E-20	 14.3283 	 14.32810  
  1	 J0026+6320  	 6.71067 	 63.33357  	 0.318357731235      	 0.15006E-15	 230.31  	 230.31    
  1	 J0030+0451  	 7.61428 	 4.86103   	 0.0048654532109097  	 1.0174E-20	 4.33252 	 4.33991   
  1	 J0034-0534  	 8.59098 	 -5.57687  	 0.0018771818845850  	 4.966E-21 	 13.76517	 13.76517  
  1	 J0034-0721  	 8.53696 	 -7.36484  	 0.9429509945598     	 4.08210E-16	 10.922  	 10.922    
  1	 J0040+5716  	 10.13484	 57.27359  	 1.1182253452412     	 2.878973E-15	 92.5146 	 92.5146   
  1	 J0048+3412  	 12.14160	 34.20223  	 1.217094296058      	 2.35454E-15	 39.922  	 39.922    
  1	 J0051+0423  	 12.87542	 4.38028   	 0.35473179890       	 7E-18     	 13.9    	 13.9      
  1	 J0055+5117  	 13.93908	 51.29027  	 2.115171148865      	 9.53764E-15	 44.0127 	 44.0127   
  1	 J0056+4756  	 14.10630	 47.93626  	 0.472036662076      	 3.32849E-15	 18.1354 	 18.1354   
  1	 J0102+6537  	 15.63733	 65.62039  	 1.679164229064      	 5.95492E-15	 65.853  	 65.853    
  1	 J0106+4855  	 16.60442	 48.93106  	 0.0831573050050     	 4.2792E-16	 70.87   	 70.87     
  1	 J0108-1431  	 17.03478	 -14.53061 	 0.807564614019      	 7.704E-17 	 2.38    	 2.38      
  1	 J0108+6608  	 17.09436	 66.14277  	 1.2836598429        	 1.3051E-14	 30.5482 	 30.5482   
  1	 J0108+6905  	 17.12293	 69.09795  	 1.071118109859      	 4.809E-17 	 61.0617 	 61.0617   
  1	 J0117+5914  	 19.41109	 59.24400  	 0.1014390664824     	 5.849955E-15	 49.42068	 49.42068  
  1	 J0134-2937  	 23.57784	 -29.62140 	 0.136961610513651   	 7.83699E-17	 21.806  	 21.806    
  1	 J0137+1654  	 24.34950	 16.91169  	 0.4147630265082     	 0.01223E-15	 26.0838 	 26.0838   
